industry,count,industry_short_name,industry_short_name_lower,exact_match,max_fuzz_ratio_score,fuzz_ratio_candidates,max_fuzz_partial_ratio_score,fuzz_partial_ratio_candidates,manual_match,manual_match_level1_sector
Higher Education industry,212,Higher Education,higher education,False,53,['education services'],61,['broadcasting'],education services,consumer discretionary
Retail industry,94,Retail,retail,False,80,['retailing'],100,"['retailing', 'food & staples retailing', 'internet & direct marketing retail', 'multiline retail', 'specialty retail', 'catalog retail - discontinued effective close of aug 31, 2016', 'apparel retail', 'computer & electronics retail', 'home improvement retail', 'automotive retail', 'homefurnishing retail', 'drug retail', 'food retail', 'retail reits - discontinued effective close of aug 31, 2016', 'retail reits']",retailing,consumer discretionary
Financial Services industry,84,Financial Services,financial services,False,75,['diversified financial services'],100,"['diversified financial services', 'other diversified financial services']",diversified financial services,financials
Information Technology and Services industry,79,Information Technology and Services,information technology and services,False,77,['information technology'],100,['information technology'],information technology,information technology
Hospital & Health Care industry,64,Hospital & Health Care,hospital & health care,False,67,['health care'],100,['health care'],health care,health care
Telecommunications industry,44,Telecommunications,telecommunications,False,82,['telecommunication services'],94,"['telecommunication services', 'diversified telecommunication services', 'wireless telecommunication services', 'integrated telecommunication services']",telecommunication services,telecommunication services
Insurance industry,37,Insurance,insurance,True,100,['insurance'],100,"['insurance', 'insurance brokers', 'life & health insurance', 'multi-line insurance', 'property & casualty insurance', 'reinsurance']",insurance,financials
Pharmaceuticals industry,33,Pharmaceuticals,pharmaceuticals,True,100,['pharmaceuticals'],100,"['pharmaceuticals, biotechnology & life sciences', 'pharmaceuticals']",pharmaceuticals,health care
Banking industry,29,Banking,banking,False,67,['banks'],100,['investment banking & brokerage'],investment banking & brokerage,financials
Computer Software industry,29,Computer Software,computer software,False,67,['systems software'],100,['software'],software,information technology
Government Administration industry,28,Government Administration,government administration,False,51,['consumer discretionary'],67,['transportation'],government agency,government agency
Marketing and Advertising industry,26,Marketing and Advertising,marketing and advertising,False,61,['advertising'],100,['advertising'],advertising,consumer discretionary
Consumer Goods industry,26,Consumer Goods,consumer goods,False,67,['consumer staples'],79,['consumer discretionary'],consumer staples,consumer staples
Restaurants industry,23,Restaurants,restaurants,True,100,['restaurants'],100,"['hotels, restaurants & leisure', 'restaurants']",restaurants,consumer discretionary
Defense & Space industry,22,Defense & Space,defense & space,False,50,['diversified consumer services'],64,['aerospace & defense'],aerospace & defense,industrials
Staffing and Recruiting industry,22,Staffing and Recruiting,staffing and recruiting,False,49,['oil & gas refining & marketing'],62,['trucking'],human resource & employment services,industrials
Oil & Energy industry,20,Oil & Energy,oil & energy,False,67,['energy'],100,['energy'],energy,energy
Management Consulting industry,20,Management Consulting,management consulting,False,57,['asset management & custody banks'],67,['marine'],research & consulting services,industrials
Automotive industry,19,Automotive,automotive,False,76,['automobiles'],100,['automotive retail'],automotive retail,consumer discretionary
Real Estate industry,18,Real Estate,real estate,True,100,['real estate'],100,"['real estate', 'real estate - discontinued effective close of aug 31, 2016', 'mortgage real estate investment \ntrusts (reits)', 'real estate investment trusts (reits) - discontinued effective close of aug 31, 2016', 'real estate management & development - discontinued effective close of aug 31, 2016', 'equity real estate \ninvestment trusts \n(reits)', 'real estate management & development', 'diversified real estate activities - discontinued effective close of aug 31, 2016', 'real estate operating companies - discontinued effective close of aug 31, 2016', 'real estate development - discontinued effective close of aug 31, 2016', 'real estate services - discontinued effective close of aug 31, 2016', 'diversified real estate activities ', 'real estate operating companies', 'real estate development ', 'real estate services ']",real estate,real estate
Education Management industry,18,Education Management,education management,False,63,['education services'],70,"['real estate management & development - discontinued effective close of aug 31, 2016', 'real estate management & development']",education services,consumer discretionary
Broadcast Media industry,17,Broadcast Media,broadcast media,False,74,['broadcasting'],100,['media'],media,consumer discretionary
Entertainment industry,16,Entertainment,entertainment,False,74,['movies & entertainment'],100,"['movies & entertainment', 'home entertainment software']",movies & entertainment,consumer discretionary
Electrical/Electronic Manufacturing industry,15,Electrical/Electronic Manufacturing,electrical/electronic manufacturing,False,71,['electronic manufacturing services'],84,['electronic manufacturing services'],electronic manufacturing services,information technology
Nonprofit Organization Management industry,14,Nonprofit Organization Management,nonprofit organization management,False,49,['communications equipment'],67,['marine'],nonprofit,nonprofit
"Health, Wellness and Fitness industry",14,"Health, Wellness and Fitness","health, wellness and fitness",False,50,['metal & glass containers'],73,['health care'],health care,health care
Research industry,14,Research,research,False,53,['restaurants'],100,['research & consulting services'],research & consulting services,industrials
Utilities industry,13,Utilities,utilities,True,100,['utilities'],100,"['utilities', 'electric utilities', 'gas utilities', 'multi-utilities', 'water utilities']",utilities,utilities
Internet industry,13,Internet,internet,False,53,"['it services', 'movies & entertainment']",100,"['internet & direct marketing retail', 'internet software & services']",internet software & services,information technology
Semiconductors industry,13,Semiconductors,semiconductors,True,100,['semiconductors'],100,"['semiconductors & semiconductor equipment', 'semiconductors']",semiconductors,information technology
Food & Beverages industry,13,Food & Beverages,food & beverages,False,72,['beverages'],100,['beverages'],beverages,consumer staples
Aviation & Aerospace industry,13,Aviation & Aerospace,aviation & aerospace,False,53,['education services'],64,['aerospace & defense'],aerospace & defense,industrials
Medical Devices industry,13,Medical Devices,medical devices,False,67,['education services'],80,['media'],health care equipment,health care
